#,Quantity,PartType,Designator,Description,Footprint,MANUFACTURER,MANUFACTURER #,DISTRIBUTOR,DISTRIBUTOR #,
44,6,BAT54,"D5, D6, D7, D8, D9, D10",DIODE SCHOTTKY 30V 200MA SOD523F,SOD-523F,Fairchild Semiconductor,BAT54XV2,Digi-Key,BAT54XV2CT-ND,
45,1,TVS 22V,V7,TVS DIODE 22V 40VC SC70-3,SOT-323,ON Semiconductor,MMBZ27VAWT1G,Digi-Key,MMBZ27VAWT1GOSCT-ND,
46,2,IRFTS9342,"Q1, Q6",MOSFET P-CH 30V 5.8A 6TSOP,TSOP6-6,Infineon Technologies,IRFTS9342TRPBF,Digi-Key,IRFTS9342TRPBFCT-ND,
47,1,MMBT3906W,Q2,TRANS PNP 40V 0.2A SOT323,SOT-323,On Semiconductor,MMBT3906WT1G,Digi-Key,MMBT3906WT1GOSCT-ND,
48,5,IRLML5203,"Q3, Q4, Q8, Q12, Q16",MOSFET P-CH 30V 3A SOT-23,SOT-23,International Rectifier,IRLML5203TRPBF,Digi-Key,IRLML5203TRPBFCT-ND,
49,1,FSB660A,Q32,TRANSISTOR PNP 60V 2A SSOT-3,SOT-23,Fairchild Semiconductor,FSB660A,Digi-Key,FSB660ACT-ND,
50,4,BSS138PW,"Q5, Q33, Q34, Q35",MOSFET N-CH 60V 320MA SOT323,SOT-323,NXP Semiconductor,"BSS138PW,115",Digi-Key,568-10309-1-ND,
51,7,MMBT3904,"Q7, Q9, Q13, Q17, Q23, Q27, Q31",TRANS NPN 40V 0.2A SOT323,SOT-323,ON Semiconductor,MMBT3904WT1G,Digi-Key,MMBT3904WT1GOSCT-ND,
52,3,IRLML0060,"Q22, Q26, Q30",MOSFET N-CH 60V 2.7A SOT-23-3,SOT-23,International Rectifier,IRLML0060TRPBF,Digi-Key,IRLML0060TRPBFCT-ND,
53,1,TPS54328,U1,IC REG BUCK ADJ 3A SYNC 8SOPWR,SO-8-1,Texas Instruments,TPS54328DDAR,Digi-Key,296-28080-1-ND,
54,2,LM393,"U3, U6",IC COMPARATOR DUAL 8-UFSON 2X2,DFN-8-1,STMicroelectronics,LM393QT,Digi-Key,497-11126-1-ND,
55,2,TJA1051,"U9, U10",IC TXRX CAN HIGH SPEED 8HVSON,HVSON-8-1,NXP Semiconductors,"TJA1051TK/3,118",Digi-Key,568-8686-1-ND,
56,1,LM317L,U5,IC REG LDO ADJ 0.1A SOT89-3,SOT-89,Texas Instruments,LM317LCPK,Digi-Key,296-26093-1-ND,
57,1,TH8056,U11,IC TXRX CAN SGL WIRE 8SOIC,SO-8,MELEXIS,TH8056KDC-AAA-008-TU,Digi-Key,TH8056KDC-AAA-008-TU-ND,
58,1,MCP2515,U12,IC CAN CONTROLLER W/SPI 20TSSOP,TSSOP-20,Microchip Technology,MCP2515T-I/ST,Digi-Key,MCP2515T-I/STCT-ND,
59,1,ZXCT1109,U2,IC CURR MONITOR HIGH SIDE SOT23,SOT-23,Diodes Incorporated,ZXCT1109SA-7,Digi-Key,ZXCT1109SA-7DICT-ND,
60,2,TJA1027,"U7, U8",IC TXRX LIN 2.2/SAE J2602 8-HVSON,HVSON-8-1,NXP Semiconductors,TJA1027TK/20/1J,Digi-Key,568-13612-1-ND,
61,1,16MHz,X1,CRYSTAL 16.0000MHZ 10PPM 9PF 60 OHM,XTAL-SMD2.5X3.2,EPSON,TSX-3225 16.0000MF18X-AC3,Digi-Key,SER3636CT-ND,
62,1,OBD2,J1,OBD2 RT-ANGLE MALE PIN,OBD2_RT_MALE,Macchina,CCBDM205,Macchina,CCBDM205,
63,2,CONN HDR36,"J3, J4",CONN HDR BRKWAY 36POS 2MM 30GOLD,3-5176264-2,TE,"3-5176264-2 
",Digi-Key,"3-5176264-2-ND 
",
64,1,HDR26,J5,CONN HEADER 26POS RA THOLE,HDR26RA2MM,HIROSE,DF11-26DP-2DS(52),Digi-Key,H2876-ND,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,STICKER,,,,,,,,,
